2
265 17854
190 42 93
235 81 96
80 97 43
817 27 15
992 22 72
490 8 76
730 45 48
47 57 76
354 46 28
163 78 30
504 80 85
756 61 83
276 3 10
253 12 25
43 98 85
476 35 20
310 60 74
589 62 30
393 15 84
175 88 36
684 91 19
132 32 47
307 24 61
891 22 6
668 48 33
242 1 59
910 87 12
91 85 18
560 91 18
558 37 47
991 11 15
743 56 21
70 91 67
388 17 11
588 41 39
696 92 14
965 16 14
262 26 1
244 60 7
16 57 40
299 74 87
155 89 12
908 92 91
131 18 10
917 53 70
20 50 44
794 86 99
46 59 22
332 73 84
149 50 96
150 6 34
276 9 43
242 44 52
281 78 99
231 84 97
54 34 73
305 23 11
629 22 70
413 26 16
659 82 17
276 76 42
952 98 12
754 65 44
287 77 6
922 52 8
997 81 74
245 28 40
123 84 28
865 52 84
640 86 83
274 58 62
359 1 2
580 27 86
858 30 69
300 2 45
51 70 69
632 41 44
417 42 54
766 16 92
151 9 47
287 12 78
607 2 20
448 57 51
67 42 54
885 38 98
708 82 82
829 82 81
152 1 45
397 85 16
86 59 85
102 43 19
402 58 18
908 69 1
261 60 14
190 57 98
902 53 4
556 6 34
109 32 27
656 14 11
338 21 16
45 37 97
666 96 98
363 49 80
811 79 13
821 57 23
680 96 44
469 49 33
131 52 53
520 99 12
920 74 44
79 58 48
849 22 24
163 52 60
999 54 4
241 74 26
211 28 74
51 97 18
673 86 72
829 91 84
454 15 97
871 44 74
370 74 22
655 97 36
990 52 44
832 47 94
297 89 78
277 31 71
382 87 77
272 40 71
758 3 31
399 70 37
638 13 11
301 87 1
48 55 31
392 6 45
735 84 40
777 54 3
67 18 83
266 49 56
975 10 34
517 89 95
59 60 81
79 20 34
842 99 2
781 23 76
407 98 82
321 53 56
312 98 48
289 34 53
539 38 63
549 32 77
666 53 65
365 34 46
642 66 64
76 93 54
13 28 94
85 85 50
737 66 57
782 21 91
472 76 26
294 54 82
703 30 67
256 12 70
113 5 65
377 67 87
917 24 5
943 28 6
583 46 52
138 81 66
212 88 32
743 89 57
200 35 13
823 37 64
865 75 17
250 97 81
853 36 98
699 86 96
869 52 49
214 71 8
310 57 48
27 5 24
392 37 15
92 18 33
745 10 87
412 8 52
892 34 49
705 28 45
677 51 2
356 87 37
90 98 64
59 52 79
163 84 71
932 85 61
667 77 19
665 95 77
105 46 45
964 32 37
592 60 29
46 34 54
221 4 49
785 1 20
682 69 58
85 25 23
816 96 48
883 4 51
270 2 55
257 26 41
923 12 67
279 46 91
509 12 50
180 72 82
122 88 76
992 98 26
200 2 21
221 15 36
893 70 56
784 77 33
983 96 78
91 86 88
527 41 23
663 57 14
730 64 24
661 77 16
746 27 3
301 6 24
208 71 96
321 38 75
359 72 35
180 19 75
48 4 3
881 47 57
39 53 45
84 49 51
123 24 93
412 4 50
308 69 90
552 88 15
919 21 3
479 31 85
792 55 45
491 62 73
144 86 80
460 27 52
788 13 23
463 20 15
820 94 68
841 87 50
851 49 15
870 96 26
551 55 23
602 29 93
65 63 61
209 27 18
706 84 43
387 76 75
928 46 1
883 65 36
174 95 68
952 64 13
591 27 90
542 90 71
305 19 84
299 40 57
536 62 67
513 14 3
31235
timeout:2676
50 37378
473 73 39
942 50 26
668 89 86
437 34 25
112 99 49
618 1 28
173 93 71
92 57 91
639 6 44
357 4 68
661 81 66
878 17 40
203 33 40
291 24 81
436 75 50
55 30 58
55 1 67
241 97 9
366 39 16
479 31 44
818 32 86
192 77 52
591 23 82
94 42 68
875 88 69
904 65 81
419 59 76
858 31 4
21 42 84
576 52 78
252 72 2
959 47 92
952 25 98
984 46 8
758 96 58
991 36 9
396 46 73
343 6 71
684 95 1
823 18 35
679 2 71
50 84 70
665 91 41
770 95 41
837 43 13
691 11 35
459 3 7
756 19 6
58 90 66
308 28 51
33156
timeout:1410
